,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2021-03-01T03:10:00,78.69,78.23,78.73,78.23,16
2021-03-01T03:11:00,78.52,78.36,78.78,78.23,14
2021-03-01T03:12:00,78.37,79.04,79.04,78.23,13
2021-03-01T03:13:00,79.04,79.02,79.11,79.01,15
2021-03-01T03:14:00,78.66,79.11,79.12,78.66,17
2021-03-01T03:15:00,79.11,79.11,79.28,79.11,7
2021-03-01T03:16:00,78.66,79.05,79.05,78.66,10
2021-03-01T03:17:00,79.05,78.91,79.05,78.66,8
2021-03-01T03:18:00,78.91,78.66,78.91,78.66,11
2021-03-01T03:19:00,78.72,78.73,78.73,78.71,4
2021-03-01T03:20:00,78.72,78.76,78.76,78.72,4
2021-03-01T03:21:00,78.76,78.23,78.76,78.23,4
2021-03-01T03:22:00,78.65,78.54,78.65,78.23,9
2021-03-01T03:23:00,78.23,78.37,78.54,78.23,9
2021-03-01T03:24:00,78.23,78.22,78.38,78.22,5
2021-03-01T03:25:00,78.23,78.23,78.23,78.23,1
2021-03-01T03:26:00,78.24,78.34,78.34,78.23,4
2021-03-01T03:28:00,78.23,78.33,78.34,78.23,9
2021-03-01T03:29:00,78.34,78.45,78.45,78.33,10
2021-03-01T03:30:00,78.46,78.52,78.52,78.36,6
2021-03-01T03:31:00,78.53,78.64,78.64,78.53,9
2021-03-01T03:32:00,78.64,78.71,78.71,78.64,15
2021-03-01T03:33:00,78.71,78.78,78.78,78.71,6
2021-03-01T03:34:00,78.78,78.78,78.78,78.78,1
2021-03-01T03:35:00,78.78,78.86,78.86,78.78,2
2021-03-01T03:37:00,78.91,78.91,78.91,78.91,11
2021-03-01T03:38:00,78.91,78.92,78.97,78.91,8
2021-03-01T03:39:00,78.94,78.91,78.96,78.91,10
2021-03-01T03:40:00,79.11,79.11,79.11,79.11,1
2021-03-01T03:42:00,78.91,78.91,78.92,78.91,3
2021-03-01T03:43:00,78.91,78.91,78.91,78.91,4
2021-03-01T03:44:00,78.91,78.91,79.12,78.91,7
2021-03-01T03:45:00,78.91,78.91,78.91,78.91,5
2021-03-01T03:46:00,78.91,78.91,78.91,78.91,8
2021-03-01T03:48:00,78.91,78.91,78.91,78.91,2
2021-03-01T03:51:00,78.91,78.91,78.91,78.91,1
2021-03-01T03:54:00,78.91,78.91,78.91,78.91,2
2021-03-01T03:55:00,78.95,78.95,78.95,78.95,1
2021-03-01T03:58:00,78.86,78.95,78.95,78.86,2
2021-03-01T03:59:00,78.86,78.86,78.86,78.86,1
2021-03-01T04:00:00,78.86,78.86,78.86,78.86,12
2021-03-01T04:01:00,78.86,78.86,78.96,78.86,4
2021-03-01T04:02:00,78.86,78.86,78.86,78.86,2
2021-03-01T04:03:00,78.86,78.86,78.86,78.86,1
2021-03-01T04:04:00,78.86,78.86,78.86,78.86,1
2021-03-01T04:06:00,78.71,78.71,78.71,78.71,2
2021-03-01T04:08:00,78.54,78.56,78.56,78.54,3
2021-03-01T04:09:00,78.55,78.56,78.56,78.55,2
2021-03-01T04:10:00,78.57,78.62,78.62,78.57,5
2021-03-01T04:11:00,78.62,78.62,78.62,78.62,2
2021-03-01T04:13:00,78.61,78.61,78.61,78.61,1
2021-03-01T04:14:00,78.61,78.61,78.61,78.61,1
2021-03-01T04:15:00,78.62,78.62,78.62,78.62,1
2021-03-01T04:16:00,78.36,78.62,78.62,78.36,8
2021-03-01T04:17:00,78.63,78.63,78.63,78.63,1
2021-03-01T04:20:00,78.63,78.63,78.63,78.63,1
2021-03-01T04:23:00,78.62,78.62,78.62,78.62,1
2021-03-01T04:24:00,78.62,78.63,78.65,78.62,14
2021-03-01T04:25:00,78.62,78.65,78.65,78.62,12
2021-03-01T04:28:00,78.65,78.62,78.65,78.62,2
2021-03-01T04:30:00,78.62,78.62,78.62,78.62,1
2021-03-01T04:32:00,78.71,78.71,78.71,78.71,1
2021-03-01T04:33:00,78.62,78.66,78.66,78.62,3
2021-03-01T04:34:00,78.62,78.62,78.71,78.62,6
2021-03-01T04:35:00,78.63,78.64,78.64,78.63,2
2021-03-01T04:36:00,78.62,78.65,78.66,78.62,6
2021-03-01T04:37:00,78.66,78.66,78.66,78.62,3
2021-03-01T04:38:00,78.62,78.65,78.65,78.62,2
2021-03-01T04:39:00,78.66,78.66,78.66,78.66,2
2021-03-01T04:40:00,78.65,78.61,78.66,78.61,5
2021-03-01T04:41:00,78.41,78.61,78.61,78.41,2
2021-03-01T04:42:00,78.41,78.69,78.69,78.41,3
2021-03-01T04:43:00,78.67,78.68,78.69,78.67,5
2021-03-01T04:44:00,78.61,78.41,78.61,78.41,2
2021-03-01T04:46:00,78.22,78.22,78.59,78.22,7
2021-03-01T04:47:00,78.41,78.53,78.61,78.41,7
2021-03-01T04:48:00,78.53,78.53,78.53,78.53,2
2021-03-01T04:49:00,78.54,78.53,78.54,78.53,4
2021-03-01T04:50:00,78.53,78.41,78.62,78.41,5
2021-03-01T04:51:00,78.41,78.41,78.41,78.41,1
2021-03-01T04:53:00,78.41,78.47,78.47,78.41,2
2021-03-01T04:54:00,78.47,78.59,78.59,78.41,12
2021-03-01T04:55:00,78.57,78.57,78.58,78.41,11
2021-03-01T04:56:00,78.41,78.55,78.58,78.41,7
2021-03-01T04:57:00,78.56,78.61,78.61,78.41,7
2021-03-01T04:58:00,78.41,78.62,78.63,78.41,13
2021-03-01T04:59:00,78.63,78.62,78.63,78.41,5
2021-03-01T05:00:00,78.63,78.57,78.63,78.41,11
2021-03-01T05:01:00,78.59,78.59,78.59,78.59,1
2021-03-01T05:02:00,78.6,78.62,78.62,78.6,3
2021-03-01T05:03:00,78.61,78.61,78.61,78.61,1
2021-03-01T05:04:00,78.62,78.62,78.62,78.62,1
2021-03-01T05:05:00,78.61,78.71,78.71,78.61,4
2021-03-01T05:07:00,78.71,78.71,78.71,78.71,1
2021-03-01T05:11:00,78.73,78.57,78.73,78.57,5
2021-03-01T05:12:00,78.57,78.57,78.57,78.57,2
2021-03-01T05:13:00,78.57,78.57,78.57,78.57,6
2021-03-01T05:14:00,78.57,78.65,78.74,78.57,11
2021-03-01T05:16:00,78.57,78.57,78.57,78.57,1
2021-03-01T05:18:00,78.57,78.57,78.57,78.57,1
2021-03-01T05:20:00,78.57,78.57,78.57,78.57,1
2021-03-01T05:23:00,78.57,78.57,78.57,78.57,1
2021-03-01T05:24:00,78.58,78.57,78.58,78.57,2
2021-03-01T05:25:00,78.58,78.58,78.58,78.58,1
2021-03-01T05:27:00,78.57,78.57,78.57,78.57,1
2021-03-01T05:28:00,78.61,78.61,78.61,78.61,1
2021-03-01T05:29:00,78.57,78.57,78.57,78.57,2
2021-03-01T05:31:00,77.96,77.96,78.4,77.96,11
2021-03-01T05:32:00,77.96,77.96,77.96,77.96,1
2021-03-01T05:33:00,78.11,77.96,78.26,77.96,18
2021-03-01T05:34:00,78.23,78.39,78.39,77.96,8
2021-03-01T05:35:00,78.39,78.39,78.39,78.39,2
2021-03-01T05:36:00,77.96,77.96,77.96,77.96,3
2021-03-01T05:37:00,77.96,77.96,77.96,77.96,4
2021-03-01T05:38:00,77.96,77.96,77.96,77.96,2
2021-03-01T05:39:00,77.96,78.16,78.17,77.96,9
2021-03-01T05:40:00,78.17,77.96,78.17,77.96,6
2021-03-01T05:41:00,77.96,78.39,78.41,77.96,7
2021-03-01T05:42:00,78.41,78.41,78.41,77.96,6
2021-03-01T05:43:00,78.42,78.66,78.66,78.42,8
2021-03-01T05:44:00,78.61,78.53,78.61,78.51,8
2021-03-01T05:45:00,78.54,78.53,78.54,78.53,2
2021-03-01T05:46:00,78.55,78.71,78.71,78.53,6
2021-03-01T05:48:00,78.71,78.71,78.71,78.71,2
2021-03-01T05:49:00,77.96,78.48,78.52,77.96,8
2021-03-01T05:50:00,78.47,78.38,78.47,77.96,17
2021-03-01T05:51:00,78.39,77.96,78.39,77.96,6
2021-03-01T05:52:00,78.23,77.96,78.23,77.96,2
2021-03-01T05:53:00,77.96,78.23,78.27,77.96,7
2021-03-01T05:54:00,77.96,77.96,77.96,77.96,2
2021-03-01T05:55:00,77.96,77.96,77.96,77.96,6
2021-03-01T05:56:00,77.96,77.96,77.96,77.96,1
2021-03-01T05:57:00,78.33,78.33,78.33,77.96,3
2021-03-01T05:58:00,78.23,78.35,78.35,78.23,4
2021-03-01T05:59:00,78.35,78.35,78.35,78.35,1
2021-03-01T06:00:00,78.45,76.98,78.45,76.31,57
2021-03-01T06:01:00,77.31,77.06,77.32,76.91,25
2021-03-01T06:02:00,77.07,77.01,77.07,76.61,23
2021-03-01T06:03:00,77.22,77.8,77.82,77.22,34
2021-03-01T06:04:00,77.8,77.59,77.81,77.51,10
2021-03-01T06:05:00,77.59,77.62,77.9,77.59,7
2021-03-01T06:06:00,77.62,77.62,77.63,77.62,6
2021-03-01T06:07:00,77.62,77.59,77.62,77.59,8
2021-03-01T06:08:00,77.59,77.65,77.65,77.59,5
2021-03-01T06:09:00,77.65,77.59,77.68,77.59,6
2021-03-01T06:10:00,77.51,77.51,77.51,77.51,1
2021-03-01T06:11:00,77.51,77.51,77.51,77.51,2
2021-03-01T06:12:00,77.51,77.51,77.51,77.51,3
2021-03-01T06:13:00,77.51,77.51,77.51,77.51,2
2021-03-01T06:14:00,77.52,77.52,77.52,77.52,1
2021-03-01T06:15:00,77.52,77.6,77.6,77.52,2
2021-03-01T06:17:00,77.62,77.62,77.62,77.62,2
2021-03-01T06:18:00,77.62,77.62,77.63,77.62,4
2021-03-01T06:19:00,77.6,77.53,77.6,77.51,4
2021-03-01T06:20:00,77.53,77.63,77.63,77.53,4
2021-03-01T06:21:00,77.63,77.63,77.63,77.63,1
2021-03-01T06:22:00,77.68,77.63,77.68,77.63,2
2021-03-01T06:23:00,77.68,77.71,77.71,77.63,6
2021-03-01T06:24:00,77.71,77.63,77.71,77.63,4
2021-03-01T06:25:00,77.63,77.63,77.63,77.63,2
2021-03-01T06:26:00,77.72,77.69,77.72,77.69,2
2021-03-01T06:27:00,77.66,77.66,77.66,77.66,1
2021-03-01T06:29:00,77.66,77.66,77.7,77.66,6
2021-03-01T06:30:00,77.63,77.63,77.63,77.63,3
2021-03-01T06:31:00,77.63,77.63,77.63,77.63,1
2021-03-01T06:32:00,77.63,77.63,77.63,77.63,1
2021-03-01T06:33:00,77.63,77.61,77.63,77.61,2
2021-03-01T06:34:00,77.61,77.57,77.61,77.51,3
2021-03-01T06:35:00,77.58,77.4,77.58,77.31,6
2021-03-01T06:36:00,77.4,77.32,77.4,77.31,6
2021-03-01T06:37:00,77.31,77.26,77.31,77.25,5
2021-03-01T06:38:00,77.26,77.26,77.26,77.26,2
2021-03-01T06:39:00,77.25,77.16,77.27,77.16,8
2021-03-01T06:40:00,77.16,77.16,77.16,77.16,2
2021-03-01T06:41:00,77.16,77.08,77.16,77.08,3
2021-03-01T06:42:00,77.08,77.08,77.08,77.01,5
2021-03-01T06:43:00,77.01,77.01,77.01,77.01,3
2021-03-01T06:44:00,77.01,76.97,77.01,76.97,3
2021-03-01T06:45:00,76.97,77.01,77.01,76.97,4
2021-03-01T06:46:00,77.02,77.02,77.07,77.02,4
2021-03-01T06:47:00,77.06,77.07,77.07,77.06,2
2021-03-01T06:48:00,77.11,77.07,77.11,77.06,4
2021-03-01T06:49:00,77.08,77.08,77.08,77.08,1
2021-03-01T06:50:00,77.11,77.11,77.11,77.11,1
2021-03-01T06:52:00,77.11,77.16,77.16,77.11,4
2021-03-01T06:53:00,77.16,77.36,77.36,77.16,3
2021-03-01T06:54:00,77.36,77.36,77.36,77.36,1
2021-03-01T06:55:00,77.36,77.36,77.36,77.36,2
2021-03-01T06:56:00,77.36,77.36,77.36,77.36,1
2021-03-01T06:57:00,77.08,77.2,77.2,77.08,6
2021-03-01T06:59:00,77.08,77.1,77.1,77.08,3
2021-03-01T07:00:00,77.21,77.21,77.21,77.21,1
2021-03-01T07:01:00,77.28,77.31,77.31,77.28,3
2021-03-01T07:03:00,77.31,77.32,77.32,77.31,3
2021-03-01T07:04:00,77.27,77.36,77.42,77.27,6
2021-03-01T07:05:00,77.37,77.44,77.44,77.36,6
2021-03-01T07:06:00,77.37,77.36,77.37,77.36,4
2021-03-01T07:07:00,77.5,77.36,77.5,77.36,5
2021-03-01T07:08:00,77.36,77.41,77.56,77.36,7
2021-03-01T07:09:00,77.41,77.49,77.49,77.41,4
2021-03-01T07:10:00,77.52,77.57,77.57,77.52,2
2021-03-01T07:11:00,77.57,77.41,77.57,77.41,2
2021-03-01T07:12:00,77.41,77.41,77.41,77.41,2
2021-03-01T07:13:00,77.46,77.46,77.46,77.46,2
2021-03-01T07:14:00,77.61,77.61,77.61,77.61,2
2021-03-01T07:15:00,77.64,77.64,77.64,77.64,2
2021-03-01T07:16:00,77.64,77.67,77.68,77.64,5
2021-03-01T07:17:00,77.69,77.62,77.76,77.62,8
2021-03-01T07:18:00,77.64,77.65,77.65,77.64,3
2021-03-01T07:19:00,77.66,77.76,77.77,77.66,9
2021-03-01T07:20:00,77.76,77.76,77.76,77.76,1
2021-03-01T07:21:00,77.81,77.9,77.9,77.81,4
2021-03-01T07:22:00,77.91,77.93,77.93,77.91,3
2021-03-01T07:23:00,78.01,77.83,78.01,77.82,7
2021-03-01T07:24:00,77.84,77.77,77.84,77.76,3
2021-03-01T07:25:00,77.76,77.68,77.76,77.66,3
2021-03-01T07:26:00,77.72,77.66,77.72,77.66,5
2021-03-01T07:27:00,77.67,77.61,77.67,77.61,5
2021-03-01T07:28:00,77.62,77.64,77.67,77.61,10
2021-03-01T07:29:00,77.64,77.64,77.64,77.64,1
2021-03-01T07:30:00,77.73,77.83,77.83,77.73,7
2021-03-01T07:31:00,77.74,77.71,77.78,77.71,5
2021-03-01T07:32:00,77.7,77.72,77.72,77.65,4
2021-03-01T07:33:00,77.72,77.68,77.83,77.68,6
2021-03-01T07:34:00,77.69,77.74,77.74,77.69,3
2021-03-01T07:35:00,77.75,77.68,77.84,77.68,8
2021-03-01T07:36:00,77.75,77.79,77.79,77.75,3
2021-03-01T07:37:00,77.83,77.83,77.83,77.83,1
2021-03-01T07:39:00,77.88,77.92,77.92,77.88,2
2021-03-01T07:40:00,77.92,77.84,77.92,77.84,8
2021-03-01T07:41:00,77.84,77.89,77.92,77.84,7
2021-03-01T07:42:00,77.94,77.94,77.96,77.94,4
2021-03-01T07:43:00,77.94,77.83,77.94,77.83,4
2021-03-01T07:44:00,77.83,77.91,77.91,77.83,2
2021-03-01T07:45:00,77.91,77.92,77.92,77.91,3
2021-03-01T07:46:00,77.91,77.95,77.95,77.91,4
2021-03-01T07:47:00,77.96,77.91,77.96,77.91,3
2021-03-01T07:48:00,77.91,77.82,77.91,77.75,7
2021-03-01T07:49:00,77.82,77.88,77.88,77.82,2
2021-03-01T07:50:00,77.88,77.88,77.88,77.82,5
2021-03-01T07:51:00,77.91,77.89,77.91,77.88,4
2021-03-01T07:52:00,77.89,77.89,77.9,77.89,5
2021-03-01T07:53:00,77.91,77.93,77.94,77.91,3
2021-03-01T07:54:00,77.92,77.95,77.99,77.92,10
2021-03-01T07:55:00,77.92,77.92,77.93,77.92,3
2021-03-01T07:56:00,77.93,77.92,77.93,77.92,3
2021-03-01T07:57:00,77.92,77.94,77.94,77.92,4
2021-03-01T07:58:00,77.94,77.89,77.96,77.83,9
2021-03-01T08:00:00,77.89,77.89,77.96,77.88,6
2021-03-02T03:20:00,76.77,76.77,76.77,76.77,2
2021-03-02T03:21:00,76.76,76.53,76.77,76.53,13
2021-03-02T03:22:00,76.53,76.54,76.62,76.53,8
2021-03-02T03:23:00,76.54,76.6,76.63,76.54,20
2021-03-02T03:24:00,76.6,76.59,76.61,76.59,5
2021-03-02T03:27:00,76.59,76.59,76.59,76.59,1
2021-03-02T03:28:00,76.59,76.59,76.59,76.59,2
2021-03-02T03:29:00,76.59,76.59,76.59,76.59,2
2021-03-02T03:30:00,76.59,76.59,76.59,76.59,1
2021-03-02T03:31:00,76.59,76.59,76.59,76.59,1
2021-03-02T03:36:00,76.59,76.59,76.59,76.59,1
2021-03-02T03:38:00,76.53,76.53,76.53,76.53,1
2021-03-02T03:40:00,76.62,76.53,76.62,76.53,2
2021-03-02T03:42:00,76.54,76.53,76.54,76.53,3
2021-03-02T03:43:00,76.54,76.54,76.54,76.54,1
2021-03-02T03:44:00,76.54,76.53,76.54,76.53,3
2021-03-02T03:45:00,76.54,76.54,76.54,76.54,1
2021-03-02T03:49:00,76.54,76.53,76.54,76.53,2
2021-03-02T03:50:00,76.53,76.53,76.53,76.53,2
2021-03-02T03:51:00,76.53,76.53,76.53,76.53,1
2021-03-02T03:52:00,76.53,76.53,76.53,76.53,1
2021-03-02T03:54:00,76.54,76.55,76.55,76.54,2
2021-03-02T03:55:00,76.56,76.56,76.57,76.53,12
2021-03-02T03:56:00,76.53,76.57,76.58,76.53,12
2021-03-02T03:57:00,76.56,76.55,76.56,76.55,2
2021-03-02T03:58:00,76.54,76.54,76.54,76.54,3
2021-03-02T03:59:00,76.53,76.53,76.53,76.53,1
2021-03-02T04:00:00,76.54,76.55,76.55,76.54,4
2021-03-02T04:01:00,76.56,76.56,76.56,76.55,3
2021-03-02T04:02:00,76.55,76.55,76.55,76.55,1
2021-03-02T04:03:00,76.56,76.56,76.56,76.55,4
2021-03-02T04:05:00,76.56,76.56,76.56,76.56,2
2021-03-02T04:06:00,76.55,76.53,76.55,76.53,4
2021-03-02T04:07:00,76.53,76.54,76.54,76.53,3
2021-03-02T04:08:00,76.54,76.54,76.55,76.53,6
2021-03-02T04:09:00,76.56,76.53,76.56,76.53,2
2021-03-02T04:12:00,76.53,76.53,76.53,76.53,1
2021-03-02T04:13:00,76.53,76.53,76.53,76.53,1
2021-03-02T04:14:00,76.53,76.53,76.53,76.53,1
2021-03-02T04:19:00,76.53,76.53,76.53,76.53,3
2021-03-02T04:20:00,76.53,76.53,76.53,76.53,2
2021-03-02T04:23:00,76.53,76.53,76.54,76.53,3
2021-03-02T04:29:00,76.53,76.53,76.53,76.53,7
2021-03-02T04:40:00,76.53,76.62,76.62,76.53,8
2021-03-02T04:41:00,76.62,76.62,76.62,76.62,3
2021-03-02T04:44:00,76.53,76.54,76.54,76.53,5
2021-03-02T04:45:00,76.53,76.63,76.81,76.53,53
2021-03-02T04:46:00,76.63,76.71,76.8,76.53,26
2021-03-02T04:47:00,76.71,76.71,76.71,76.71,13
2021-03-02T04:48:00,76.71,76.71,76.79,76.71,5
2021-03-02T04:49:00,76.72,76.71,76.81,76.71,18
2021-03-02T04:50:00,76.71,76.93,76.93,76.71,12
2021-03-02T04:51:00,76.93,76.93,76.93,76.93,7
2021-03-02T04:52:00,76.93,76.93,76.93,76.93,2
2021-03-02T04:53:00,76.93,76.72,76.93,76.71,16
2021-03-02T04:54:00,76.71,76.71,76.76,76.71,11
